rightCheese yes no
color white yellow orange 
holes yes no 
flavor mild   medium sharp  
aged yes no 

orange yes mild   no   yes
white  yes mild   yes  no
orange yes medium no   no
white  yes medium yes  no
orange no  medium yes  no
orange yes sharp  yes  no
white  yes sharp  yes  no
white  no  medium yes  no
white  yes sharp  no   no
orange no  mild   yes  no
yellow yes sharp  yes  no
white  no  medium no   no
orange no  sharp  yes  no
white  yes sharp  no   no
white  yes sharp  yes  no
white  no  mild   yes  no
orange yes sharp  no   no
yellow no  sharp  no   no
orange yes sharp  yes  no
yellow yes sharp  no   no
orange yes medium no   no
orange no  mild   yes  no
yellow yes mild   yes  no
yellow no  mild   no   yes
yellow no  medium yes  no
white  no  mild   no   yes
yellow no  medium no   no
white  no  mild   yes  no
yellow yes sharp  yes  no
yellow yes mild   yes  no
white  yes mild   yes  no
white  yes mild   yes  no
orange yes mild   yes  no
white  yes sharp  yes  no
white  no  mild   no   yes
orange no  mild   no   yes
yellow yes medium yes  no
yellow no  medium yes  no
white  no  sharp  yes  no
yellow no  mild   no   yes
yellow yes sharp  no   no
white  yes sharp  no   no
orange yes sharp  yes  no
orange yes mild   yes  no
orange no  mild   no   yes
yellow yes medium no   no
yellow no  sharp  yes  no
white  yes medium yes  no
white  no  medium yes  no
white  no  medium no   no
yellow yes sharp  yes  no
yellow yes medium no   no
white  no  medium no   no
white  yes sharp  yes  no
white  no  sharp  yes  no
orange yes medium no   no
yellow yes sharp  no   no
yellow no  mild   yes  no
yellow no  medium yes  no
white  no  mild   no   yes
orange no  mild   no   yes
orange yes sharp  no   no
white  no  medium yes  no
yellow no  medium no   no
white  yes medium no   no
white  no  sharp  yes  no
orange yes mild   no   yes
orange no  mild   no   yes
yellow yes mild   yes  no
yellow yes medium no   no
yellow yes sharp  no   no
yellow yes sharp  no   no
yellow no  medium no   no
yellow yes sharp  no   no
white  yes mild   yes  no
white  yes medium no   no
yellow yes sharp  no   no
orange yes mild   no   yes
yellow yes sharp  no   no
yellow yes mild   no   yes
orange no  sharp  yes  no
orange yes mild   no   yes
orange no  mild   no   yes
orange yes medium no   no
white  no  mild   yes  no
white  no  mild   no   yes
white  no  mild   yes  no
white  yes medium yes  no
white  no  mild   no   yes
orange no  medium no   no
orange yes medium yes  no
yellow no  mild   yes  no
white  yes medium no   no
white  no  medium no   no
yellow yes mild   yes  no
orange yes mild   yes  no
yellow yes sharp  yes  no
orange no  medium yes  no
white  no  medium no   no
orange no  medium yes  no
white  yes sharp  yes  no
white  yes sharp  no   no
orange yes medium no   no
white  no  medium no   no
white  yes mild   no   yes
white  yes sharp  no   no
orange no  mild   no   yes
orange yes medium yes  no
white  no  sharp  no   no
white  no  medium no   no
white  yes mild   yes  no
orange no  sharp  yes  no
white  yes mild   no   yes
white  no  sharp  yes  no
orange yes mild   yes  no
white  no  medium no   no
yellow no  sharp  no   no
yellow no  medium yes  no
white  yes mild   yes  no
yellow no  mild   no   yes
orange no  medium no   no
white  no  sharp  no   no
orange no  medium no   no
white  yes mild   yes  no
orange no  medium yes  no
yellow no  sharp  yes  no
yellow no  medium yes  no
white  no  mild   no   yes
yellow no  medium yes  no
white  yes medium yes  no
orange no  mild   no   yes
yellow no  sharp  yes  no
orange yes mild   yes  no
yellow no  mild   yes  no
orange yes medium no   no
orange yes sharp  yes  no
white  yes sharp  yes  no
yellow yes sharp  no   no
orange no  sharp  no   no
yellow no  medium no   no
white  no  mild   yes  no
white  no  sharp  yes  no
yellow yes sharp  yes  no
white  yes sharp  yes  no
orange no  sharp  no   no
white  yes medium yes  no
yellow no  mild   yes  no
orange no  sharp  yes  no
yellow yes sharp  yes  no
orange yes mild   yes  no
yellow no  sharp  yes  no
orange yes sharp  no   no
orange no  sharp  no   no
yellow yes sharp  yes  no
white  no  mild   yes  no
orange yes medium yes  no
white  no  mild   yes  no
orange yes mild   yes  no
orange yes mild   yes  no
orange no  mild   yes  no
white  yes mild   no   yes
yellow no  mild   no   yes
yellow no  mild   yes  no
white  no  mild   no   yes
orange yes sharp  yes  no
white  yes medium yes  no
orange yes sharp  yes  no
yellow no  medium no   no
orange no  sharp  no   no
orange yes medium no   no
yellow yes mild   yes  no
orange yes sharp  no   no
yellow yes mild   no   yes
white  no  sharp  yes  no
white  yes mild   yes  no
yellow no  sharp  yes  no
white  no  mild   no   yes
white  yes medium yes  no
white  yes mild   yes  no
yellow no  mild   no   yes
orange yes medium no   no
yellow no  mild   yes  no
yellow yes sharp  yes  no
white  no  medium yes  no
white  no  sharp  no   no
white  no  sharp  yes  no
yellow yes medium yes  no
orange no  sharp  no   no
orange no  sharp  no   no
white  no  mild   no   yes
orange yes sharp  yes  no
white  yes medium yes  no
yellow no  sharp  no   no
orange yes sharp  no   no
yellow yes mild   no   yes
white  yes medium yes  no
white  no  sharp  no   no
orange yes medium yes  no
orange no  medium no   no
orange yes mild   no   yes
yellow yes sharp  no   no
white  no  medium yes  no
white  yes sharp  yes  no
white  yes mild   yes  no
yellow yes sharp  yes  no
yellow yes mild   no   yes
white  yes medium no   no
yellow no  sharp  no   no
orange yes mild   yes  no
white  no  sharp  yes  no
white  no  sharp  yes  no
white  no  medium no   no
white  no  sharp  yes  no
orange yes medium yes  no
orange no  medium yes  no
white  yes mild   no   yes
white  yes mild   no   yes
orange yes mild   no   yes
