Edible? yes no
Color red orange yellow green blue purple white black 
Texture smooth bumpy metal furry sharp scaly 
Size tiny small medium big huge giant 
Shape ball tube box flat string star
Smell sweet salty bitter sour leafy dirty rotten none 
Moving?	yes no 

red	smooth	small	ball	sweet	no	yes
yellow	smooth	medium	tube	salty	no	yes
red	furry	medium	ball	dirty	yes	no
purple	smooth	tiny	flat	sweet	no	no
green	bumpy	small	star	leafy	no	yes
red 	smooth	small	tube	rotten	no	no
black	bumpy	small	string	salty	no	no
yellow	furry	small	star	salty	no	yes
yellow	smooth	big	ball	salty	no	no
green	metal	giant	box	none	no	no
green	smooth	tiny	box	sour	no	yes
red	bumpy	small	string	salty	no	yes
white	smooth	tiny	star	none	no	no
red	smooth	medium	flat	none	yes	no
green	metal	tiny	box	salty	no	yes
yellow	smooth	tiny	tube	sour	no	yes
yellow	sharp	medium	star	leafy	no	yes
green	metal	small	box	leafy	no	yes
green	sharp	tiny	box	sour	no	yes
yellow	scaly	tiny	flat	sour	no	yes
red	smooth	small	string	leafy	no	yes
red	scaly	small	flat	sweet	no	yes
yellow	scaly	tiny	ball	salty	no	yes
orange	furry	huge	star	none	yes	no
yellow	scaly	giant	tube	sweet	no	no
green	bumpy	small	flat	sweet	no	yes
green	metal	medium	tube	leafy	no	yes
green	smooth	tiny	flat	rotten	no	no
yellow	smooth	big	tube	salty	no	no
yellow	scaly	medium	box	sour	no	yes
yellow	bumpy	small	box	leafy	no	yes
green	sharp	medium	string	sweet	no	yes
purple	sharp	small	box	leafy	yes	no
yellow	sharp	medium	flat	salty	no	yes
yellow	furry	small	tube	salty	no	yes
green	sharp	huge	flat	sour	yes	no
yellow	smooth	small	tube	salty	no	yes
red	scaly	small	box	leafy	no	yes
white	smooth	big	ball	sour	no	no
green	smooth	small	star	sour	no	yes
yellow	metal	small	string	leafy	no	yes
white	scaly	medium	flat	rotten	no	no
red	metal	medium	star	sour	no	yes
red	smooth	tiny	box	salty	no	yes
purple	metal	huge	ball	sour	yes	no
green	bumpy	small	flat	leafy	no	yes
red	furry	small	ball	sweet	no	yes
white	furry	huge	flat	rotten	no	no
yellow	smooth	small	string	sweet	no	yes
green	smooth	medium	ball	leafy	no	yes
red	smooth	small	box	sweet	no	yes
green	bumpy	tiny	ball	salty	no	yes
red	metal	medium	string	sweet	no	yes
green	bumpy	tiny	flat	sweet	no	yes
green	bumpy	medium	box	sour	no	yes
orange	scaly	giant	tube	sour	yes	no
red	smooth	medium	ball	salty	no	yes
yellow	sharp	tiny	ball	leafy	no	yes
yellow	sharp	medium	ball	sour	no	yes
yellow	furry	giant	ball	sour	no	no
red	metal	small	tube	salty	no	yes
yellow	furry	small	box	sweet	no	yes
blue	sharp	tiny	star	dirty	yes	no
black	smooth	small	ball	leafy	no	no
blue	smooth	giant	flat	none	yes	no
blue	furry	medium	tube	leafy	no	no
white	smooth	huge	flat	sour	no	no
green	metal	medium	flat	sweet	no	yes
green	sharp	big	box	bitter	yes	no
red	metal	medium	flat	leafy	no	yes
black	furry	tiny	string	sweet	yes	no
green	scaly	huge	flat	bitter	yes	no
green	scaly	small	flat	leafy	no	yes
yellow	smooth	huge	flat	dirty	no	no
green	scaly	small	flat	salty	no	yes
red	bumpy	tiny	star	sour	no	yes
green	sharp	small	ball	salty	no	yes
green	sharp	medium	flat	sweet	no	yes
red	smooth	tiny	tube	sour	no	yes
red	bumpy	giant	string	rotten	no	no
red	smooth	tiny	ball	none	yes	no
yellow	scaly	tiny	star	sour	no	yes
green	metal	small	string	leafy	no	yes
yellow	bumpy	tiny	ball	salty	no	yes
red	smooth	small	star	sweet	no	yes
yellow	sharp	huge	flat	none	no	no
yellow	smooth	medium	string	sweet	no	yes
purple	smooth	medium	tube	sour	no	no
black	smooth	tiny	tube	dirty	no	no
white	scaly	tiny	ball	rotten	yes	no
red	scaly	medium	tube	leafy	no	yes
red	bumpy	small	string	sour	no	yes
yellow	scaly	tiny	box	rotten	no	no
red	metal	tiny	ball	salty	no	yes
green	scaly	giant	box	none	yes	no
yellow	furry	medium	star	salty	no	yes
black	bumpy	huge	ball	rotten	no	no
green	bumpy	huge	box	salty	yes	no
purple	bumpy	giant	flat	leafy	yes	no
green	bumpy	tiny	star	leafy	no	yes
green	smooth	medium	star	sweet	no	yes
black	metal	medium	box	dirty	yes	no
red	bumpy	huge	box	leafy	no	no
orange	bumpy	huge	flat	leafy	no	no
black	metal	huge	box	dirty	yes	no
green	furry	big	box	rotten	no	no
red	scaly	medium	flat	leafy	no	yes
red	furry	big	string	rotten	no	no
purple	metal	big	tube	sweet	no	no
white	smooth	medium	box	sour	yes	no
red	smooth	giant	box	dirty	no	no
green	metal	medium	flat	salty	yes	no
orange	smooth	huge	star	salty	no	no
black	scaly	huge	tube	none	no	no
red	scaly	small	star	sweet	yes	no
blue	metal	huge	string	dirty	no	no
yellow	bumpy	tiny	ball	sour	no	yes
yellow	metal	medium	tube	salty	no	yes
green	bumpy	medium	tube	leafy	no	yes
black	sharp	giant	tube	sweet	yes	no
green	bumpy	small	flat	leafy	no	yes
yellow	smooth	medium	ball	sour	no	yes
green	metal	medium	ball	sweet	no	yes
yellow	sharp	small	flat	leafy	no	yes
blue	scaly	tiny	string	none	yes	no
green	bumpy	small	box	sweet	no	yes
yellow	smooth	small	box	salty	no	yes
blue	metal	giant	ball	dirty	yes	no
green	furry	tiny	ball	sweet	yes	no
purple	smooth	small	string	sweet	no	no
red	scaly	tiny	box	leafy	yes	no
white	sharp	tiny	box	leafy	yes	no
purple	smooth	giant	ball	salty	no	no
yellow	metal	tiny	ball	dirty	yes	no
yellow	metal	huge	box	leafy	no	no
orange	scaly	huge	flat	leafy	yes	no
black	smooth	huge	ball	none	yes	no
red	sharp	big	flat	none	no	no
green	smooth	huge	flat	none	yes	no
