Edible? yes no
Color red orange yellow green blue purple white black 
Texture smooth bumpy metal furry sharp scaly 
Size tiny small medium big huge giant 
Shape ball tube box flat string star
Smell sweet salty bitter sour leafy dirty rotten none 
Moving?	yes no 

green	furry	medium	box	salty	yes	no
yellow	bumpy	small	string	sour	yes	no
green	furry	giant	ball	none	yes	no
blue	furry	giant	flat	dirty	no	no
green	furry	medium	box	sour	no	yes
orange	smooth	huge	flat	sour	yes	no
purple	scaly	huge	string	none	yes	no
purple	scaly	small	tube	sour	yes	no
yellow	scaly	big	flat	leafy	yes	no
white	scaly	big	tube	salty	no	no
blue	metal	huge	flat	sour	yes	no
red	scaly	tiny	flat	sour	no	yes
green	metal	huge	star	dirty	yes	no
green	smooth	giant	flat	none	no	no
yellow	bumpy	huge	ball	leafy	no	no
yellow	sharp	small	string	sweet	yes	no
red	furry	small	star	salty	yes	no
yellow	furry	medium	box	dirty	no	no
red	scaly	tiny	string	rotten	yes	no
yellow	smooth	huge	flat	sour	no	no
green	metal	small	tube	sour	yes	no
white	smooth	medium	tube	none	no	no
yellow	furry	big	string	salty	yes	no
blue	metal	giant	ball	none	no	no
white	furry	giant	flat	sour	no	no
red	scaly	medium	ball	none	no	no
red	furry	tiny	string	salty	no	yes
orange	sharp	medium	box	leafy	no	no
yellow	furry	tiny	tube	leafy	no	yes
green	furry	tiny	box	dirty	no	no
white	metal	big	tube	rotten	yes	no
green	sharp	tiny	star	none	no	no
green	smooth	huge	star	sweet	yes	no
red	smooth	small	box	dirty	no	no
blue	bumpy	small	flat	sour	yes	no
purple	bumpy	tiny	tube	none	yes	no
orange	furry	huge	string	sweet	yes	no
orange	sharp	big	tube	salty	yes	no
purple	furry	big	ball	salty	yes	no
red	bumpy	small	string	sweet	yes	no
black	furry	big	ball	sweet	no	no
orange	bumpy	tiny	box	bitter	yes	no
yellow	scaly	giant	box	leafy	no	no
black	sharp	small	string	sour	yes	no
black	sharp	giant	string	sweet	yes	no
orange	scaly	giant	box	bitter	no	no
black	furry	medium	box	dirty	no	no
green	metal	huge	string	sour	yes	no
green	bumpy	big	star	sour	no	no
green	bumpy	huge	flat	sour	no	no
blue	smooth	giant	ball	dirty	no	no
white	furry	huge	box	sweet	no	no
blue	scaly	huge	ball	sour	no	no
yellow	furry	big	string	sweet	yes	no
purple	furry	tiny	tube	none	yes	no
green	bumpy	tiny	tube	none	yes	no
white	furry	medium	ball	bitter	no	no
