Guess? yes no 
Height   short medium tall 
Weight   light middle  heavy 
Age      kid young middle old ancient 
Income   lower low-mid middle upp-mid upper 
Gender   male female 
Health   poor average good 
Home     condo apt. room house commune 
Area     rural suburb urban 
Transit  bus taxi train boat car plane 

tall	heavy	young	lower	male	poor	house	rural	plane	yes
medium	middle	middle	upp-mid	female	good	commune	suburb	train	no
tall	light	old	lower	female	poor	house	urban	plane	yes
short	middle	old	middle	male	poor	room	urban	taxi	no
short	light	young	lower	female	good	apt.	rural	bus	no
short	middle	middle	low-mid	male	poor	condo	urban	plane	no
tall	heavy	kid	low-mid	male	poor	condo	suburb	boat	yes
tall	middle	ancient	low-mid	female	good	house	urban	taxi	no
tall	light	kid	low-mid	male	poor	apt.	rural	boat	yes
tall	light	kid	middle	female	good	house	urban	plane	no
tall	light	ancient	lower	female	poor	apt.	suburb	car	yes
short	light	middle	upper	female	poor	apt.	suburb	car	no
tall	heavy	young	upp-mid	male	poor	house	suburb	bus	yes
tall	light	kid	upper	male	poor	apt.	rural	boat	yes
tall	heavy	young	upper	female	poor	house	rural	train	yes
tall	heavy	old	upp-mid	female	poor	apt.	rural	boat	yes
tall	heavy	young	middle	male	poor	apt.	urban	boat	yes
tall	heavy	kid	middle	female	poor	commune	rural	boat	yes
tall	middle	young	middle	male	poor	commune	suburb	boat	yes
tall	light	ancient	upper	male	poor	room	rural	train	yes
tall	heavy	old	upp-mid	female	poor	condo	rural	taxi	yes
short	middle	young	middle	female	average	room	suburb	train	no
tall	heavy	old	upper	male	poor	commune	suburb	taxi	yes
medium	middle	middle	low-mid	female	poor	condo	urban	bus	no
medium	middle	kid	low-mid	female	good	commune	urban	bus	no
tall	middle	middle	middle	female	poor	condo	urban	car	yes
tall	middle	middle	upper	female	poor	condo	suburb	train	yes
tall	middle	old	low-mid	female	poor	room	rural	boat	yes
tall	heavy	kid	middle	female	poor	house	rural	car	yes
medium	middle	ancient	upp-mid	male	average	room	urban	car	no
tall	light	ancient	lower	female	poor	commune	rural	train	yes
tall	light	old	middle	female	poor	condo	suburb	boat	yes
tall	middle	middle	upper	male	poor	room	urban	boat	yes
medium	light	ancient	middle	male	good	room	urban	plane	no
medium	light	kid	upp-mid	female	good	house	rural	car	no
tall	light	middle	lower	male	poor	commune	urban	bus	yes
tall	heavy	old	upper	female	poor	room	suburb	taxi	yes
short	heavy	ancient	middle	female	average	house	rural	bus	no
tall	heavy	old	lower	male	poor	condo	urban	boat	yes
tall	heavy	kid	upper	male	poor	house	suburb	bus	yes
medium	light	middle	upper	female	average	room	urban	boat	no
tall	light	middle	low-mid	female	poor	condo	rural	plane	yes
tall	middle	young	lower	female	poor	apt.	urban	car	yes
medium	light	middle	middle	male	poor	room	rural	car	no
tall	heavy	old	upper	female	poor	commune	urban	train	yes
short	light	middle	upp-mid	male	poor	apt.	rural	train	no
tall	heavy	ancient	middle	male	poor	house	rural	taxi	yes
tall	light	middle	low-mid	male	poor	commune	urban	plane	yes
tall	light	young	upp-mid	male	poor	commune	rural	car	yes
medium	light	old	upper	female	good	house	rural	taxi	no
